datetime,open,high,low,close,volume
2023-01-03,13.2,13.85,13.05,13.77,2194127.94
2023-01-04,13.71,14.42,13.63,14.32,2189682.53
2023-01-05,14.4,14.74,14.37,14.48,1665425.18
2023-01-06,14.5,14.72,14.48,14.62,1195744.71
2023-01-09,14.75,14.88,14.52,14.8,1057659.11
2023-01-10,14.76,14.89,14.39,14.44,1269423.39
2023-01-11,14.45,14.78,14.39,14.67,830566.12
2023-01-12,14.77,14.77,14.53,14.67,625694.84
2023-01-13,14.67,14.95,14.55,14.95,949085.83
2023-01-16,14.95,15.28,14.85,15.08,1560039.89
2023-01-17,15.13,15.18,14.77,14.97,935834.54
2023-01-18,14.95,15.18,14.91,15.11,718434.03
2023-01-19,15.13,15.25,14.87,15.09,641875.2
2023-01-20,15.16,15.24,15.0,15.13,608590.08
2023-01-30,15.6,15.74,14.89,15.15,1374317.5
2023-01-31,15.24,15.51,14.96,14.99,1030497.84
2023-02-01,15.03,15.08,14.51,14.7,1653421.48
2023-02-02,14.74,14.78,14.27,14.6,1577900.39
2023-02-03,14.45,14.55,14.16,14.32,1246382.98
2023-02-06,14.1,14.13,13.86,14.0,1317610.1
2023-02-07,14.06,14.32,14.03,14.21,869460.46
2023-02-08,14.24,14.32,14.03,14.04,657892.57
2023-02-09,14.01,14.3,13.96,14.13,830350.02
2023-02-10,14.1,14.12,13.86,13.98,847283.66
2023-02-13,13.94,13.94,13.6,13.82,1800054.16
2023-02-14,13.85,13.98,13.8,13.96,909937.09
2023-02-15,13.95,13.96,13.62,13.67,1250243.98
2023-02-16,13.68,13.91,13.5,13.6,1279123.29
2023-02-17,13.63,13.72,13.43,13.43,918363.69
2023-02-20,13.5,14.15,13.49,14.15,2116191.17
2023-02-21,14.06,14.2,13.92,14.1,990494.99
2023-02-22,14.0,14.12,13.94,14.02,638922.39
2023-02-23,14.0,14.32,13.98,14.05,824490.68
2023-02-24,14.02,14.03,13.8,13.86,729989.04
